time,H_ewma,slope_14d,slope_28d,TTT_dni,TTT_low,TTT_high,risk_level
2016-05-23 20:00:00,-0.00752421161769946,-3.959350597472436e-06,4.110415426518323e-06,,,,Green
2016-05-23 21:00:00,-0.007248616952508167,-4.705602259337698e-06,4.025755410172196e-06,114.5261339018965,56.025051845038185,,Yellow
2016-05-23 22:00:00,-0.0067769984657941205,-5.424736135863037e-06,3.948775981980719e-06,102.96633619265685,54.094205802857516,1066.6031683196113,Yellow
2016-05-23 23:00:00,-0.006402210153850714,-6.130604773074649e-06,3.877967668009056e-06,93.65819615510304,52.12403004095114,460.99200742472686,Yellow
2016-05-24 00:00:00,-0.005941965204195048,-6.8078547578876894e-06,3.8144801697199497e-06,87.15789017103832,50.82396902801971,305.70705809645136,Yellow
2016-05-24 01:00:00,-0.0055813930419573035,-7.4505745123874695e-06,3.75677871472684e-06,81.65572955080005,49.46506940610058,233.82022901711056,Yellow
2016-05-24 02:00:00,-0.005586802423223215,-8.086584615308361e-06,3.6995374619013364e-06,75.20563197276641,47.08156133474112,186.77569890920066,Yellow
2016-05-24 03:00:00,-0.005619448633062046,-8.711468881709e-06,3.6423624974527784e-06,69.65489471313943,44.865579106076844,155.66179379102357,Yellow
2016-05-24 04:00:00,-0.005803971593798356,-9.34742804287502e-06,3.655851592102581e-06,64.09335148736967,42.36018147474301,131.62381789120835,Yellow
2016-05-24 05:00:00,-0.00582952266489869,-1.0001916698024568e-05,3.669633188767753e-06,59.79287582054022,40.470610037265885,114.42286598313831,Yellow
2016-05-24 06:00:00,-0.005720795347156205,-1.0674853119530096e-05,3.6850770926246783e-06,56.447958697986536,39.06411824375979,101.70947783065783,Yellow
2016-05-24 07:00:00,-0.005662640932571375,-1.136596294854233e-05,3.697237455345796e-06,53.228817597333354,37.60711179115881,91.05049482649116,Yellow
2016-05-24 08:00:00,-0.005998851082305611,-1.2102706157393434e-05,3.635780490851975e-06,48.831063456502505,35.19729102788618,79.70504181715002,Yellow
2016-05-24 09:00:00,-0.0060312189072911524,-1.2878066157930677e-05,3.5744373385296765e-06,45.786327369468296,33.644412568168626,71.6407044754193,Yellow
2016-05-24 10:00:00,-0.0059661938591440335,-1.3667216681575812e-05,3.514579739529896e-06,43.34084574786428,32.42244353564625,65.34660638492765,Yellow
2016-05-24 11:00:00,-0.00566629399261544,-1.4438283472286729e-05,3.5234132863845167e-06,41.89172202719222,31.8443840111847,61.201691431897665,Yellow
2016-05-24 12:00:00,-0.005307793510074518,-1.5177570273846307e-05,3.5413925429930203e-06,40.83539503979155,31.48343424978589,58.09095707683969,Yellow
2016-05-24 13:00:00,-0.005099291447311956,-1.5891941896101706e-05,3.5658861189668503e-06,39.546436045006864,30.877079344750783,54.98440624061445,Yellow
2016-05-24 14:00:00,-0.004736986108080752,-1.657225023192188e-05,3.600959660788648e-06,38.83393688968075,30.662758882214234,52.94228315593053,Yellow
2016-05-24 15:00:00,-0.004300930662174909,-1.7210974895759633e-05,3.6469077301146993e-06,38.44841448825948,30.659962452735055,51.54128096805413,Yellow
2016-05-24 16:00:00,-0.004095230397148711,-1.7817553776034424e-05,3.6996067439105788e-06,37.62051454094017,30.265123776607158,49.698943611049124,Yellow
2016-05-24 17:00:00,-0.003836137622570837,-1.838418023346535e-05,3.759178620706202e-06,37.048215614723624,30.036368791409316,48.33081307005994,Yellow
2016-05-24 18:00:00,-0.0034770790315189534,-1.8896994402816627e-05,3.825435839502915e-06,36.83452685538062,30.061163367416395,47.548018064947904,Yellow
2016-05-24 19:00:00,-0.0032277876190397966,-1.9361811250896145e-05,3.897779930632959e-06,36.486720216863,29.946317000247934,46.68234276234883,Yellow
