time,F1,Pa,Pr,Td,Tg,Tst,Tcnd1,Tcnd2,Tgpz_a,Tgpz_b,Tgpz_v,Tgpz_g,Tturb_a,Tturb_b,Tturb_v,Tturb_g,Fr,seg,dPa,transient,resid_prism
2015-03-06 03:00:00,19.314068,183.089996,7.21919,34.268776,30.421562,44.695724,7.202,11.548,542.065,543.677,543.604,545.435,543.604,548.364,548.73,544.043,49.99593,2,20.32150200000001,True,
2015-03-06 04:00:00,19.314945,203.411514,25.246464,34.642696,30.706751,45.874451,7.153,11.426,543.311,544.043,544.849,546.021,544.482,551.294,550.635,546.094,49.996288,2,20.321517999999998,True,
2015-03-06 05:00:00,19.315821,223.733017,43.273739,35.016617,30.99194,47.053177,7.153,11.353,541.699,542.578,541.772,543.384,545.801,552.246,551.733,546.533,49.996647,2,20.32150299999998,True,
2015-03-06 06:00:00,19.316696,244.054535,61.301014,35.390541,31.277126,48.231907,7.202,11.426,544.116,545.508,544.336,545.288,543.457,549.536,548.145,544.849,49.997002,2,20.321517999999998,True,
2015-03-06 07:00:00,19.317574,264.376038,79.328293,35.764462,31.562313,49.410637,14.453,20.117,538.916,540.894,540.308,540.894,548.218,551.44,551.147,543.237,49.99736,2,20.321503000000007,True,
2015-03-06 08:00:00,19.318449,284.69754,97.35556,36.138382,31.847502,50.589363,14.941,20.679,540.381,543.091,541.992,543.164,546.387,549.243,548.804,541.846,49.997719,2,20.32150200000001,True,
2015-03-06 09:00:00,19.325209,284.686707,108.158783,36.559624,32.147217,51.239449,15.186,20.825,538.477,540.894,540.454,540.894,544.043,546.973,546.753,539.502,49.998547,2,-0.010832999999990989,False,
2015-03-06 10:00:00,19.330465,284.753052,110.859215,36.815979,32.35463,51.613041,15.063,20.825,538.989,541.04,540.747,543.97,545.801,548.95,548.584,540.967,49.998676,2,0.06634500000001253,False,
2015-03-06 11:00:00,19.331968,284.84079,108.870987,36.716572,32.232666,51.578632,15.259,21.045,540.381,541.333,540.088,543.53,545.288,548.511,548.218,540.381,49.998474,2,0.08773800000000165,False,
2015-03-06 12:00:00,19.332718,284.719421,100.515739,36.479622,32.105366,51.29438,15.283,21.045,538.55,540.527,540.161,540.82,543.97,547.046,546.46,539.429,49.998875,2,-0.1213690000000156,False,
2015-03-06 13:00:00,19.334972,284.862701,96.728203,36.361259,32.030815,51.104301,15.356,21.069,539.429,540.674,540.088,541.699,543.164,546.24,545.874,538.403,49.9972,2,0.1432800000000043,False,
2015-03-06 14:00:00,19.331217,284.75592,99.673058,36.405293,32.038662,51.163593,15.21,20.972,538.55,540.601,540.088,540.161,544.482,547.705,546.973,539.575,49.998585,2,-0.10678100000001223,False,
2015-03-06 15:00:00,19.334221,284.237854,94.017113,36.294338,31.956699,51.038906,15.112,20.825,539.282,541.406,539.648,542.871,543.97,547.192,546.899,539.502,50.007519,2,-0.5180659999999762,False,
2015-03-06 16:00:00,19.328213,284.88916,90.771431,36.168999,31.892178,50.883701,15.186,20.947,538.989,539.722,540.527,540.527,544.336,547.632,547.119,539.575,49.997059,2,0.6513059999999768,False,
2015-03-06 17:00:00,19.325209,284.599731,97.591721,36.295208,31.941441,51.038906,15.259,20.947,538.989,541.04,539.575,540.308,543.75,547.266,546.46,538.77,50.000324,2,-0.28942899999998417,False,
2015-03-06 18:00:00,19.331217,284.423248,99.364983,36.367798,31.989834,51.156616,15.137,20.947,540.82,542.651,542.505,542.944,545.435,548.511,547.998,540.454,50.002941,2,-0.17648300000001882,False,
2015-03-06 19:00:00,19.325209,284.880859,102.636948,36.486599,32.059589,51.323589,15.063,20.874,540.82,540.674,540.161,542.798,544.629,548.218,547.485,540.088,49.99604,2,0.4576109999999858,False,
2015-03-06 20:00:00,19.320702,284.788208,93.565872,36.336189,31.992886,51.183208,15.137,20.898,540.747,541.992,540.454,541.04,545.874,549.097,548.071,540.894,49.997639,2,-0.09265099999998938,False,
2015-03-06 21:00:00,19.319201,284.815491,52.031582,35.847256,31.57305,50.325665,15.137,20.947,540.674,542.285,541.333,542.798,545.435,548.657,547.925,541.113,49.996006,2,0.02728300000001127,False,
2015-03-06 22:00:00,19.316948,238.08107,7.472693,35.559082,30.316599,47.693306,15.112,20.898,540.527,541.333,541.992,542.432,545.654,548.364,548.071,540.747,50.002144,2,-46.734421,True,
2015-03-06 23:00:00,19.316948,137.485321,-13.79825,38.18272,29.770769,44.117519,7.471,12.085,542.651,543.75,545.361,544.702,539.282,543.75,543.53,538.33,49.994877,2,-100.59574900000001,True,
2015-03-07 00:00:00,19.309437,135.386612,-13.532941,36.970215,29.58252,43.479004,7.153,11.45,541.846,543.018,542.651,544.482,541.406,548.218,546.46,543.311,49.989422,2,-2.0987089999999853,False,
2015-03-07 01:00:00,19.306433,134.905228,-15.180069,36.693684,29.671804,43.299213,7.202,11.45,542.432,542.651,542.139,543.896,542.944,549.463,547.778,543.091,49.995895,2,-0.4813840000000198,False,
2015-03-07 02:00:00,19.310188,134.677353,-15.277022,36.950249,29.913767,43.576485,7.153,11.45,540.82,542.578,541.26,542.725,542.358,548.438,546.68,542.651,49.999638,2,-0.22787499999998317,False,
2015-03-07 03:00:00,19.308685,134.877655,4.600323,37.048122,29.980032,43.596104,7.202,11.475,540.454,541.26,542.798,542.725,542.432,549.17,546.899,543.164,49.993027,2,0.20030199999999354,False,
2015-03-07 04:00:00,19.307936,134.958923,6.194171,37.125942,30.027117,43.663242,7.153,11.45,539.941,541.04,542.651,541.699,542.725,549.316,547.339,542.871,49.99313,2,0.08126799999999434,False,
2015-03-07 05:00:00,19.302677,134.884796,6.085438,37.158421,30.058506,43.692017,7.129,11.426,543.237,544.336,544.116,545.068,543.164,549.756,547.998,543.677,49.996292,2,-0.07412700000000427,False,
2015-03-07 06:00:00,19.307184,134.1633,7.169146,37.145779,30.076817,43.692451,7.129,11.45,541.772,542.358,542.285,543.091,542.432,549.097,547.266,542.944,50.00832,2,-0.7214960000000019,False,
2015-03-07 07:00:00,19.307936,134.569839,10.206429,37.194172,30.092512,43.730381,7.129,11.45,544.336,544.922,544.116,546.68,543.677,550.122,547.559,543.604,50.002182,2,0.4065390000000093,False,
2015-03-07 08:00:00,19.31094,181.357712,43.274025,35.091946,30.807932,44.938442,7.129,11.426,540.234,540.674,541.992,543.384,541.699,548.071,545.581,541.992,49.994694,2,46.78787299999999,True,
2015-03-07 09:00:00,19.313192,282.194,62.314125,36.292377,32.294575,50.175694,14.648,20.264,540.747,540.161,539.868,540.967,543.75,546.973,548.291,536.719,49.998474,2,100.83628800000002,True,
2015-03-07 10:00:00,19.307936,284.71347,58.300961,36.149162,31.686401,50.214931,15.186,20.898,542.651,543.457,543.384,544.775,544.702,547.925,549.097,538.623,49.999817,2,2.5194699999999557,False,
2015-03-07 11:00:00,19.312441,284.683746,58.736801,36.126274,31.668091,50.189644,15.112,20.898,542.432,543.091,543.237,543.97,546.753,549.756,550.195,539.722,49.997604,2,-0.029723999999987427,False,
2015-03-07 12:00:00,19.311691,284.702332,55.728512,36.108398,31.663731,50.175694,15.039,20.898,540.088,542.725,542.212,543.75,546.899,550.195,549.902,541.333,49.99789,2,0.018586000000027525,False,
2015-03-07 13:00:00,19.322956,284.837311,54.323135,36.093357,31.653704,50.17831,15.063,20.898,541.846,543.091,541.113,544.189,546.753,550.122,549.756,540.894,49.997383,2,0.13497899999998708,False,
2015-03-07 14:00:00,19.316196,284.723328,52.416679,36.041477,31.622314,50.144306,15.137,20.947,540.747,541.479,541.406,542.285,544.482,548.218,547.339,538.477,49.998512,2,-0.11398300000001882,False,
2015-03-07 15:00:00,19.328213,284.675049,51.448952,36.013359,31.596157,50.110737,15.039,20.898,540.674,542.212,542.285,542.139,547.192,550.342,549.976,541.26,49.997566,2,-0.04827899999997953,False,
2015-03-07 16:00:00,19.321453,284.61676,51.135437,36.007256,31.594849,50.121197,15.063,20.898,542.432,542.798,543.311,544.043,546.313,549.609,549.316,540.527,49.999092,2,-0.058289000000002034,False,
